code	dhatu	artha
01.0001	BU	sattAyAm
01.0002	eDa~\	vfdDO
01.0003	sparDa~\	saNGarze
01.0004	gADf~\	pratizWAlipsayorgranTe ca
01.0005	bADf~\	loqane, rowane
01.0006	nADf~\	yAcYopatApESvaryASIzzu
01.0007	nATf~\	yAcYopatApESvaryASIzzu
01.0008	daDa~\	DAraRe
01.0009	skudi~\	ApravaRe
01.0010	Svidi~\	SvEtye
01.0011	vadi~\	aBivAdanastutyoH
01.0012	Badi~\	kalyARe suKe ca
01.0013	madi~\	stutimodamadasvapnakAntigatizu
01.0014	spadi~\	kiYciccalane
01.0015	klidi~\	paridevane
01.0016	muda~\	harze
01.0017	dada~\	dAne
01.0018	zvada~\	AsvAdane
01.0019	svarda~\	AsvAdane
01.0020	urda~\	mAne krIqAyAM AsvAdane ca
01.0021	kurda~\	krIqAyAm eva
01.0022	Kurda~\	krIqAyAm eva
01.0023	gurda~\	krIqAyAm eva
01.0024	guda~\	krIqAyAm eva
01.0025	zUda~\	kzaraRe
01.0026	hrAda~\	avyakte Sabde
01.0027	hlAdI~\	avyakte Sabde suKe ca
01.0028	svAda~\	AsvAdane
01.0029	parda~\	kutsite Sabde
01.0030	yatI~\	prayatne
01.0031	yutf~\	BAsane
01.0032	jutf~\	BAsane
01.0033	viTf~\	yAcane
01.0034	veTf~\	yAcane
01.0035	SraTi~\	SETilye
01.0036	graTi~\	kOwilye
01.0037	katTa~\	SlAGAyAm
01.0038	ata~	sAtatyagamane
01.0039	citI~	saMjYAne
01.0040	cyuti~r	Asecane
01.0041	Scuti~r	Asecane
01.0042	Scyuti~r	kzaraRe
01.0043	jyutf~	BAsane
01.0044	maTi~	hiMsAsaNkleSanayoH
01.0045	kuTi~	hiMsAsaNkleSanayoH
01.0046	puTi~	hiMsAsaNkleSanayoH
01.0047	luTi~	hiMsAsaNkleSanayoH
01.0048	manTa~	viloqane
01.0049	ziDa~	gatyAm
01.0050	ziDU~	SAstre (SAsane) mANgalye ca
01.0051	KAdf~	BakzaRe
01.0052	Kada~	sTErye hiMsAyAM BakzaRe ca
01.0053	bada~	sTErye
01.0054	gada~	vyaktAyAM vAci
01.0055	rada~	vileKane
01.0056	Rada~	avyakte Sabde
01.0057	arda~	gatO yAcane ca
01.0058	narda~	Sabde
01.0059	garda~	Sabde
01.0060	tarda~	hiMsAyAm
01.0061	karda~	kutsite Sabde
01.0062	Karda~	dandaSUke (sarpadaMSe)
