code	text
446	niravakASatvaM pratipadoktatvamiti pakze tu prakfte tadvirahAnnumeva
2291	ayamAtmanepadyapi
2318	upadeSe nAnto'yam
2353	jAsiniprahaRa- iti sUtre krATeti mittve'pi vfdDirnipAtyate
2473	kNityajAdO vezyate
2483.1	daridrAterArDaDAtuke vivakzita Alopo vAcyaH
2483.3	sani Rvali lyuwi ca na
2488	iditvAnnumi kfte saMstaH iti sTite skoH- iti salope Jaro Jari savarRe iti takArasya vA lopaH
2514	sewko'yamityeke
2542	vyAGraBUtyAdimate sewko'yam
2547.1	saMjYApUrvako viDiranityaH iti na BavatItyAtreyAdayaH
2547.2	cAndramate parasmEpadI
2570	YitkaraRasAmarTyAdasya RijvikalpaH
2573.1	vA RijantaH
2573.2	vA'danta ityeke
2975	agragrAmAByAM nayaterRo vAcyaH
