code	text
1	liNgam
2	strI
3	fkArAntA mAtfduhitfsvasfyAtfnanAndaraH
4	anyUpratyayAntA DAtuH
5	aSaniBaraRyaraRayaH puMsi ca
6	minyataH
7	vahnivfzRavagnayaH puMsi
8	SroRiyonyUrmayaH puMsi ca
9	ktinnantaH
10	IkArAntaSca
11	UNAbantaSca
12	yvantamekAkzaram
13	viMSatyAdirAnavateH
14	dunduBirakzezu
15	nABirakzatriye
16	uBAvyapyanyatra puMsi
17	talantaH
18	BUmividyutsarillatAvanitABiDAnAni
19	yAdo napuMsakam
20	BAHsruksragdiguzRigupAnahaH
21	sTURorRe napuMsake ca
22	gfhaSaSAByAM klIbe
23	prAvfwviprawruwviwtvizaH
24	darvividivediKaniSAnyaSriveSikfzyozaDikawyaNgulayaH
25	tiTinAqirucivIcinAliDUlikikikelicCavirAtryAdayaH
26	SazkulirAjikuwyaSanivartiBfkuwitruwivaliNktayaH
27	pratipadApadvipatsampacCaratsaMsatparizaduzaH saMvitkzutpunmutsamiDaH .
28	ASIrDUHpUrgIrdvAraH
29	apsumanassamAsikatAvarzARAM bahutvaM ca
30	sraktvakjyogvAgyavAgUnOsPijaH
31	tfwisImAsaMbaDyAH
32	culliveRiKAryaSca
33	tArADArAjyotsnAdayaSca
34	SalAkA striyAM nityam
35	pumAn
36	GaYabantaH
37	GAjantaSca
38	BayaliNgaBagapadAni napuMsake
39	naNantaH
40	yAcYA striyAm
41	kyanto GuH
42	izuDi strI ca
43	devAsurAtmasvargagirisamudranaKakeSadantastanaBujakaRWaKaqgaSarapaNkABiDAnAni
44	trivizwapatriBuvane napuMsake
45	dyOH striyAm
46	izubAhU striyAM ca
47	bARakARqO napuMsake ca
48	nAntaH
49	kratupuruzakapolagulPameGABiDAnAni
50	aBraM napuMsakam
51	ukArAntaH
52	DenurajjukuhUsarayutanureRupriyaNgavaH striyAm .
53	samAse rajjuH puMsi ca
54	SmaSrujAnuvasusvAdvaSrujatutrayaputAlUni napuMsake
55	vasu cArTavAci
56	madgumaDusIDuSIDusAnukamaRqalUni napuMsake ca
57	rutvantaH
58	dArukaSerujatuvastumastUni napuMsake
59	sakturnapuMsake ca
60	prAgaraSmerakArAntaH
61	kopaDaH
62	cibukaSAlUkaprAtipadikAMSukolmukAni napuMsake
63	kaRwakAnIkasarakamodakacazakamastakapustakataqAkanizkaSuzkavarcaskapinAkaBARqakapiRqakakawakaSaRqakapiwakatAlakaPalakapulAkAni napuMsake ca
64	wopaDaH
65	kirIwamukuwalalAwavawavIwaSfNgAwakarAwalozwAni napuMsake ca
66	kuwakUwakawapawakavAwakarpawanawanikawakIwakawAni napuMsake ca
67	RopaDaH
68	fRalavaRaparvatoraRaraRozRAni napuMsake
69	kArzApaRasvarRasuvarRavraRacaraRavfzaRavizARacUrRatfRAni napuMsakeca
