code	text
1.1	Pizo'nta udAttaH
1.2	pAwalApAlaNkAmbAsAgarArTAnAm
1.3	gehArTAnAmastriyAm
1.4	gudasya ca
1.5	DyapUrvasya strIvizayasya
1.6	KAntasyASmAdeH
1.7	baMhizWavatsaratiSatTAntAnAm
1.8	dakziRasya sADO
1.9	svANgAKyAyAmAdirvA
1.10	Candasi ca
1.11	kfzRasyAmfgAKyA cet
1.12	vA nAmaDeyasya
1.13	SuklagOrayorAdiH
1.14	aNguzWodakabakavaSAnAM CandasyantaH
1.15	pfzWasya ca
1.16	arjunasya tfRAKyA cet
1.17	aryasya svAmyAKyA cet
1.18	ASAyA adigAKyA cet
1.19	nakzatrARAmAbvizayARAm
1.20	na kupUrvasya kfttikAKyA cet
1.21	GftAdInAM ca
1.22	jyezWakanizWayorvayasi
1.23	bilvatizyayoH svarito vA
2.1	aTAdiH prAk SakaweH
2.2	hasvAntasya strIvizayasya
2.3	nabvizayasyAnisantasya
2.4	tfRaDAnyAnAM ca dvyazAm
2.5	nraH saNKyAyAH
2.6	svANgaSiwAmadantAnAm
2.7	prARinAM kupUrvam
2.8	KayyuvarRa kftrimAKyA cet
2.9	unarvannantAnAm
2.10	varRAnAM taRatinitAntAnAm
2.11	hasvAntasya hasvamanftAcCIlye
2.12	akzasyAdevanasya
2.13	arDasyAsamadyotane
2.14	pItadrvarTAnAm
2.15	grAmAdInAM ca
2.16	lubantasyopamayanAmaDeyasya
2.17	na vfkzaparvataviSezavyAGrasiMhamahizARAm
2.18	rAjaviSezasya yamanvA cet
2.19	laGAvante dvayoSca bahvazo guruH
2.20	strIvizayavarRakzupUrvARAm
2.21	SakunInAM ca laGu pUrvam
2.22	nartuprARyAKyAyAm
2.23	DAnyAnAM ca vfdDakzAntAnAm
2.24	janapadaSabdAnAmazAntAnAm
2.25	hayAdInAmasaMyuktalAntAnAmantaH pUrvaM vA
2.26	igantAnA ca dvyazAm
3.1	aTa dvitIyaM prAgIzAt
3.2	tryacA prANmakarAt
3.3	svANgAnAmakurvAdInAm
3.4	mAdInAM ca
3.5	SAdInAM SAkAnAm
3.6	pAntAnAM gurvAdInAm
3.7	yutAnyaRyantAnAm
3.8	makaravarUQapArevatavitastekzvArjidrAkzAkalomAkAzWApezWAkASInAmAdirvA
3.9	Candasi ca
3.10	kardamAdInAM ca
3.11	suganDitejanasya te vA
3.12	napaH PalAntAnAm
3.13	yAntasyAntyAtpUrvam
3.14	TAntasya ca nAlaGunI
3.15	SiSumArodumbarabalIvardozwrArapurUravasAM ca
3.16	sANkASyakAmpilyanAsikyadArvAGAwAnAm
3.17	IzAntaKya hayAderAdirvA
3.18	uSIradASerakapAlapalAlaSEvAlaSyAmAkaSArIraSarAvahfdayahiraRyAraRyApatyadevarARAm
3.19	mahizyAzAQayorjAyezwakAKyA cet
4.1	SakawiSakawyorakzaramakzaraM paryAyeRa
4.2	gozWajasya brAhmaRAnAmaDeyasya
4.3	pArAvatasyopottamavarjam
4.4	DUmrajAnumuYjakeSakAlavAlasTAlIpAkAnAmaDUjalasTAnAm
4.5	kapikeSaharikeSayoSCandasi
4.6	nyaNsvarO svaritO
4.7	nyarbudavyalkaSayorAdi
4.8	tilyaSikyamatyakArzmaryaDAnyakanyArAjanyamanuzyARAmanta
4.9	bilvaBakzyavIryARi cCandasi
4.10	tvattvasamasimetyanuccAni
4.11	simasyATarvaRe'nta udAttaH
4.12	nipAtA AdyudAttAH
4.13	upasargAScABivarjam
4.14	evAdInAmantaH
4.15	vAcAdInAmuBAvudAttO
4.16	cAdayo'nudAttAH
4.17	yaTeti pAdAnte
4.18	prakArAdidviruktO parasyAnta udAttaH
4.19	SezaM sarvamanudAttam
