code	text
1.1.33.1	viBAzAprakaraRe tIyasya NitsUpasaNKyAnam
1.2.1.1	vyaceH kuwAditvamanasIti vaktavyam
1.2.6.1	SranTigranTidamBisvaYjInAmiti vaktavyam
1.3.3.1	ira itsaMjJA vAcyA
1.3.89.1	Dewa upasaNKyAnam
1.3.22.1	ANaH pratijYAyAm
1.3.29.1	dfSeSceti vaktavyam
1.3.30.1	upasargAdasyatyUhrorvA vacanam
1.4.60.3	duraH zatvaRatvayorupasargatvapratizeDo vaktavyaH
1.4.65.1	antaHSabdasya aNkiviDiRatvezu upasargasaMjYA vaktavyA
2.1.37.1	BayaBItaBItiBIBiriti vaktavyam
2.4.45.1	iRvadika iti vaktavyam
2.4.54.1	varjane pratizeDo vaktavyaH
2.4.56.1	GaYapoH pratizeDe kyapa upasaNKyAnam
2.4.56.2	valAdAvArDaDAtuke vikalpa izyate
3.1.11.1	ojaso'psaraso nityamitarezAM viBAzayA
3.1.14.1	satrakazwakakzakfcCragahaneByaH kaRvacikIrzAyAm iti vaktavyam
3.1.15.2	tapasaH parasmEpadaM ca
3.1.16.1	PenAcceti vaktavyam
3.1.17.1	sudinadurdinanIhareByaSceti vaktavyam
3.1.17.2	awAwwASIkAkowApowAsowApruzwApluzwAgrahaRaM kartavyam
3.1.21.1	halikalyoradantatvaM nipAtyate
3.1.22.1	sUcisUtramUtryawyartyaSUrRotInAM grahaRaM
3.1.25.1	arTavedasatyAnAmApugvaktavyaH
3.1.34.1	sibbahulaM Candasi RidvaktavyaH
3.1.35.1	kAsyanekAca iti vaktavyam
3.1.36.1	UrRoteSca pratizeDo vaktavyaH
3.1.44.1	spfSamfSakfzatfpadfpAM cleH sijvA vaktavyaH
3.1.48.1	RiSridrusruzu kamerupasaMKyAnaM kartavyam
3.1.96.1	vasestavyat kartari Ricca
3.1.96.2	kelimara upasaNKyAnam
3.1.97.1	takiSasicatiyatijanInAmupasaNKyAnam
3.1.97.2	hano vA vaDa ca
3.1.100.1	carerANi cAgurO
3.1.134.1	ajviDiH sarvaDAtuByaH paWyante ca pacAdayaH . aRbADanArTameva syAt siDyanti SvapacAdayaH ..
3.1.140.1	tanoterRasyopasaNKyAnaM kartavyam
3.2.8.1	pibateH surASIDvoriti vaktavyam
3.2.9.1	SaktilANgalANkuSayazwitomaraGawaGawIDanuzzu graherupasaNKyAnam
3.2.9.2	sUtre ca DAryarTe
3.2.60.1	samAnAnyayoSceti vaktavyam
3.2.174.1	krukannapi vaktavyaH
3.2.178.1	kvibvacipracCAyatastukawaprujuSrIRAM dIrGo'saMprasAraRaM ca
3.3.106.1	SradantarorupasargavadvfttiH
3.3.125.1	KanerqaqarekekavakA vAcyAH
4.1.6.1	DAtorugitaH pratizeDaH
4.1.68.1	SvaSurasyokArAkAralopaSca
4.1.97.1	vyAsavaruqanizAdacaRqAlabimbAnAm iti vaktavyam
4.1.128.1	cawakAc ceti vaktavyam
4.2.28.1	CaprakaraRe pENgAkzIputrAdiBya upasaNKyAnam
4.2.28.2	SatarudrAcCaSca GaSca
4.2.40.1	gaRikAyASca yaY vaktavyaH
4.2.42.1	pfzWAdupasaNKyAnam
4.2.43.1	gajAcceti vaktavyam
4.2.93.1	avArapArAdvigfhItAdapi viparItAcceti vaktavyam
4.4.41.1	aDarmAcceti vaktavyam
4.4.49.1	narAcceti vaktavyam
5.1.6.1	yatprakaraRe raTAcca
5.1.33.1	kevalAyASceti vaktavyam
5.1.38.2	saMnipAtAcceti vaktavyam
5.1.74.1	kroSaSatayojanaSatayorupasaNKyAnam
5.1.77.1	AhftaprakaraRe vArijaNgalasTalkAntArapUrvapadAdupasaNKyAnam
5.1.77.2	ajapaTaSaNkupaTAByAM copasaNKyAnam
5.1.77.3	maDukamaricayoraR sTalAt
5.2.29.1	alAbUtilomABaNgAByo rajasyupasaNKyAnam
5.2.112.1	anyeByo'pi dfSyata iti vaktavyam
5.4.3.1	caYcabfhayorupasaNKyAnam
5.4.78.1	palyarAjaByAM ca
6.1.3.3	Irzyates tftIyasya dve Bavata iti vaktavyam
6.1.64.1	subDAtuzWivuzvazkatInAM satvapratizeDo vaktavyaH
6.1.64.2	zWivu ityasya dvitIyasTakArazWakAraSca izyate
6.3.11.1	antAcca
6.3.118.1	anutsAhaBrAtfpitFRAm ityeva
6.4.16.1	gameriNAdeSasyeti vaktavyam
6.4.24.2	raYjerRO mfgaramaRa upasaNKyAnaM kartavyam
6.4.24.3	GinuRi ca raYjerupasaNKyAnaM kartavyam
6.4.34.1	kvO ca SAsa ittvaM BavatIti vaktavyam
6.4.34.2	kvippratyaye tu tasya api BavatIti vaktavyam
6.4.84.1	dfnkarapunaH pUrvasya Buvo yaRvaktavyaH
6.4.114.1	daridrAterArDaDAtuke lopo vaktavyaH
6.4.114.2	adyatanyAM veti vaktavyam
6.4.120.1	damBeretvaM vaktavyam
6.4.122.1	SranTeSceti vaktavyam
6.4.144.1	nAnatasya wilope sabrahmacAripIWasarpikalApikuTumitEtilijAjalilANgaliSilAliSiKaRqisUkarasadmasuparvaRAmupasaNKyAnaM kartavyam 
6.4.148.1	yasyetyONaH SyAM pratizeDo vaktavyaH
6.4.155.1	RAvizWavat prAtipadikasya kAryaM BavatIti vaktavyam
7.1.26.1	ekatarAtpratizeDo vaktavyaH
7.1.59.1	Se tfmPAdInAmupasaNKyAnaM kartavyam
7.1.90.1	oto Riditi vAcyam
7.2.13.1	kfYo'suwkasyeti vaktavyam
7.2.49.1	tanipatidaridrARAmupasaNKyAnam
7.2.68.1	dfSeSceti vaktavyam
7.3.34.1	anAcamikamivamInAm iti vaktavyam
7.3.37.1	lugAgamastu tasya vaktavyaH
7.3.37.2	DUYprIYornugvaktavyaH
7.4.3.1	kARyAdInAM ceti vaktavyam
7.4.30.1	hanterhisAyAM yaNi GnIBAvo vaktavyaH
7.4.54.1	sani rADo hiMsAyAmaca is vaktavyaH
7.4.85.1	padAntavacceti vaktavyam
7.4.90.1	rIgftvata iti vaktavyam
8.2.8.1	NAvuttarapade pratizeDasya pratizeDo vaktavyaH
8.2.8.3	vA napuMsakAnAm iti vaktavyam
8.3.118.1	svaYjerupasaNKyAnaM kartavyam
